"Time","1","2","3","4","5"
1,1850971.4,NA,NA,NA,54554.2374
2,1850971.4,NA,NA,NA,54554.2374
3,1850971.4,NA,NA,NA,54554.2374
4,1850971.4,NA,NA,NA,54554.2374
5,1850971.4,NA,NA,NA,54554.2374
6,1850971.4,NA,NA,NA,54554.2374
7,1850971.4,NA,NA,NA,54554.2374
8,1850971.4,NA,NA,NA,54554.2374
9,1850971.4,NA,NA,NA,54554.2374
10,1850971.4,NA,NA,NA,54554.2374
