"Time","1","2","3","4","5"
1,18338643,NA,NA,NA,184338
2,18338643,NA,NA,NA,184338
3,18338643,NA,NA,NA,184338
4,18338643,NA,NA,NA,184338
5,18338643,NA,NA,NA,184338
6,18338643,NA,NA,NA,184338
7,18338643,NA,NA,NA,184338
8,18338643,NA,NA,NA,184338
9,18338643,NA,NA,NA,184338
10,18338643,NA,NA,NA,184338
