"Time","1","2","3"
1,108417.37,26735.4654,6952.6224
2,108417.37,26735.4654,6952.6224
3,108417.37,26735.4654,6952.6224
4,108417.37,26735.4654,6952.6224
5,108417.37,26735.4654,6952.6224
6,108417.37,26735.4654,6952.6224
7,108417.37,26735.4654,6952.6224
8,108417.37,26735.4654,6952.6224
9,108417.37,26735.4654,6952.6224
10,108417.37,26735.4654,6952.6224
