"Time","1","2","3"
1,13718702,NA,422638
2,13718702,NA,422638
3,13718702,NA,422638
4,13718702,NA,422638
5,13718702,NA,422638
6,13718702,NA,422638
7,13718702,NA,422638
8,13718702,NA,422638
9,13718702,NA,422638
10,13718702,NA,422638
