"Time","1","2","3","4","5","6","7","8","9","10"
1,19013,11614,7094,4333,2647,1617,987.999999999999,603,369,225
2,19013,11614,7094,4333,2647,1617,987.999999999999,603,369,225
3,19013,11614,7094,4333,2647,1617,987.999999999999,603,369,225
4,19013,11614,7094,4333,2647,1617,987.999999999999,603,369,225
5,19013,11614,7094,4333,2647,1617,987.999999999999,603,369,225
6,19013,11614,7094,4333,2647,1617,987.999999999999,603,369,225
7,19013,11614,7094,4333,2647,1617,987.999999999999,603,369,225
8,19013,11614,7094,4333,2647,1617,987.999999999999,603,369,225
9,19013,11614,7094,4333,2647,1617,987.999999999999,603,369,225
10,19013,11614,7094,4333,2647,1617,987.999999999999,603,369,225
