"Time","1","2","3"
1,2329.31132,NA,NA
2,2329.31132,NA,NA
3,2329.31132,NA,NA
4,2329.31132,NA,NA
5,2329.31132,NA,NA
6,2329.31132,NA,NA
7,2329.31132,NA,NA
8,2329.31132,NA,NA
9,2329.31132,NA,NA
10,2329.31132,NA,NA
