"Time","1","2","3"
1,302.678858,74.70284,20.8149994
2,302.678858,74.70284,20.8149994
3,302.678858,74.70284,20.8149994
4,302.678858,74.70284,20.8149994
5,302.678858,74.70284,20.8149994
6,302.678858,74.70284,20.8149994
7,302.678858,74.70284,20.8149994
8,302.678858,74.70284,20.8149994
9,302.678858,74.70284,20.8149994
10,302.678858,74.70284,20.8149994
