"Time","1","2","3"
1,1205690.66,NA,NA
2,1205690.66,NA,NA
3,1205690.66,NA,NA
4,1205690.66,NA,NA
5,1205690.66,NA,NA
6,1205690.66,NA,NA
7,1205690.66,NA,NA
8,1205690.66,NA,NA
9,1205690.66,NA,NA
10,1205690.66,NA,NA
