"Time","1","2","3","4","5","6","7","8","9","10"
1,54,33,20,12,7,4,3,2,1,1
2,54,33,20,12,7,4,3,2,1,1
3,54,33,20,12,7,4,3,2,1,1
4,54,33,20,12,7,4,3,2,1,1
5,54,33,20,12,7,4,3,2,1,1
6,54,33,20,12,7,4,3,2,1,1
7,54,33,20,12,7,4,3,2,1,1
8,54,33,20,12,7,4,3,2,1,1
9,54,33,20,12,7,4,3,2,1,1
10,54,33,20,12,7,4,3,2,1,1
