"Time","1","2","3","4","5"
1,158191,NA,NA,NA,1591
2,158191,NA,NA,NA,1591
3,158191,NA,NA,NA,1591
4,158191,NA,NA,NA,1591
5,158191,NA,NA,NA,1591
6,158191,NA,NA,NA,1591
7,158191,NA,NA,NA,1591
8,158191,NA,NA,NA,1591
9,158191,NA,NA,NA,1591
10,158191,NA,NA,NA,1591
