"Time","1","2","3","4","5"
1,11817910,NA,NA,NA,118792
2,11817910,NA,NA,NA,118792
3,11817910,NA,NA,NA,118792
4,11817910,NA,NA,NA,118792
5,11817910,NA,NA,NA,118792
6,11817910,NA,NA,NA,118792
7,11817910,NA,NA,NA,118792
8,11817910,NA,NA,NA,118792
9,11817910,NA,NA,NA,118792
10,11817910,NA,NA,NA,118792
