year,Code,box,catch_tons,Name,Long Name,guild
2011,BD,0,0,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,1,8.249129485495583,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,2,7.279293267396688,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,3,3.7262298974703194,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,4,7.466968001790347,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,5,11.623061673578626,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,6,10.343027597463296,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,7,6.512602612698598,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,8,9.776832114450507,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,9,7.092696051791046,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,10,3.7014418493614656,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,11,13.027265791853353,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,12,10.714797251142326,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,13,14.37047773114643,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,14,11.84541618506841,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,15,7.660331633557611,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,16,8.524918223229447,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,17,0,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,18,6.887492478255686,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,19,6.833693119901215,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,20,8.791443361124587,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,21,9.363475832729232,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,22,8.233413533651795,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,23,5.770618300724859,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,24,4.365208993777633,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,25,2.2853658682970837,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,26,4.301997940189225,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,27,3.8067093465599684,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,28,5.221379700783634,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,29,12.609305800511212,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,30,12.2888561865217,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,31,3.837153093695499,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,32,5.057492094299936,Deposit_Feeder,Deposit feeders,Invertebrates
2011,BD,33,6.2935393861373905,Deposit_Feeder,Deposit feeders,Invertebrates
