"names","paropt","parmin","parmax","parphase"
"mfc_HEP_factor",0,-1,1,1
"mfc_MRO_factor",0,-1,1,1
"mfc_MVR_factor",0,-1,1,1
"mfc_PIS_factor",0,-1,1,1
"mfc_POP_factor",0,-1,1,1
"mfc_PWN_factor",0,-1,1,1
"mfc_RAT_factor",0,-1,1,1
"mfc_ROC_factor",0,-1,1,1
"mfc_SAF_factor",0,-1,1,1
"mfc_SAL_factor",0,-1,1,1
"mfc_SBL_factor",0,-1,1,1
"mfc_SMD_factor",0,-1,1,1
"mfc_SQX_factor",0,-1,1,1
"mfc_SSK_factor",0,-1,1,1
"ZS_mQ_factor",0,-1,1,1
"ZM_mQ_factor",0,-1,1,1
"ZL_mQ_factor",0,-1,1,1
